calendar.year,variable,value
2005,Scheduled Law,0.11088980239288546
2006,Scheduled Law,0.11009089601242979
2007,Scheduled Law,0.1123532664358174
2008,Scheduled Law,0.11533282945655698
2009,Scheduled Law,0.12744613244971578
2010,Scheduled Law,0.13811924563224573
2011,Scheduled Law,0.13686109240963185
2012,Scheduled Law,0.13844612298021564
2013,Scheduled Law,0.13957097916062566
2014,Scheduled Law,0.14085104582818858
2015,Scheduled Law,0.13029758248501164
2016,Scheduled Law,0.1364699620268973
2017,Scheduled Law,0.1351618491666298
2018,Scheduled Law,0.13656905727337176
2019,Scheduled Law,0.1383936260658512
2020,Scheduled Law,0.14125820475889006
2021,Scheduled Law,0.14201265458759732
2022,Scheduled Law,0.14577463917736447
2023,Scheduled Law,0.14655959854621065
2024,Scheduled Law,0.1508871239247131
2025,Scheduled Law,0.15438626544870548
2026,Scheduled Law,0.15511600045913437
2027,Scheduled Law,0.15763790594772703
2028,Scheduled Law,0.15852538822957143
2029,Scheduled Law,0.16046187515829272
2030,Scheduled Law,0.16196414661586353
2031,Scheduled Law,0.16334663737217284
2032,Scheduled Law,0.1640530876036948
2033,Scheduled Law,0.16721773853967895
2034,Scheduled Law,0.1692332479461314
2035,Scheduled Law,0.16950580376837887
2036,Scheduled Law,0.16863866991395896
2037,Scheduled Law,0.16914256218456383
2038,Scheduled Law,0.16906475893634987
2039,Scheduled Law,0.16898375529559595
2040,Scheduled Law,0.16922678779013553
2041,Scheduled Law,0.16796713569162366
2042,Scheduled Law,0.16804161384572402
2043,Scheduled Law,0.16870411643865327
2044,Scheduled Law,0.168688196232363
2045,Scheduled Law,0.1662299763132218
2046,Scheduled Law,0.16718563048949692
2047,Scheduled Law,0.1667996103337772
2048,Scheduled Law,0.16648682532172035
2049,Scheduled Law,0.1672641624322055
2050,Scheduled Law,0.16776228902376022
2051,Scheduled Law,0.1666396753034127
2052,Scheduled Law,0.16775185366666978
2053,Scheduled Law,0.16714510470574517
2054,Scheduled Law,0.16790497058279405
2055,Scheduled Law,0.1689515133213341
2056,Scheduled Law,0.16872224977615358
2057,Scheduled Law,0.16851207449625735
2058,Scheduled Law,0.16940500217738433
2059,Scheduled Law,0.17121940313011266
2060,Scheduled Law,0.17051626336991116
2061,Scheduled Law,0.1730502192283278
2062,Scheduled Law,0.17299982209004736
2063,Scheduled Law,0.17448992356518433
2064,Scheduled Law,0.17425079813540562
2065,Scheduled Law,0.1734265906016073
2066,Scheduled Law,0.17315892854191134
2067,Scheduled Law,0.17645366110204316
2068,Scheduled Law,0.17551335856929942
2069,Scheduled Law,0.17657416819930633
2070,Scheduled Law,0.1778180234143914
2071,Scheduled Law,0.17835413066699754
2072,Scheduled Law,0.17799298513005052
2073,Scheduled Law,0.17859925180096206
2074,Scheduled Law,0.17860418104440576
2075,Scheduled Law,0.18028939603308747
2076,Scheduled Law,0.17965418855317694
2077,Scheduled Law,0.18067041819897378
2078,Scheduled Law,0.17972358842409897
2079,Scheduled Law,0.1787327769747848
2080,Scheduled Law,0.1803454914206109
2081,Scheduled Law,0.17996075210368817
2082,Scheduled Law,0.18060648796515927
2083,Scheduled Law,0.1797984558841232
2084,Scheduled Law,0.18091441968961466
2085,Scheduled Law,0.1817025388129262
2086,Scheduled Law,0.18227171345721074
2087,Scheduled Law,0.1864220210284454
2088,Scheduled Law,0.1868649070622434
2089,Scheduled Law,0.18731438205410797
2090,Scheduled Law,0.18776563151013928
2005,Payable Law,0.11088980239288546
2006,Payable Law,0.11009089601242979
2007,Payable Law,0.1123532664358174
2008,Payable Law,0.11533282945655698
2009,Payable Law,0.12744613244971578
2010,Payable Law,0.13811924563224573
2011,Payable Law,0.13686109240963185
2012,Payable Law,0.13844612298021564
2013,Payable Law,0.13957097916062566
2014,Payable Law,0.14085104582818858
2015,Payable Law,0.13029758248501164
2016,Payable Law,0.1364699620268973
2017,Payable Law,0.1351618491666298
2018,Payable Law,0.13656906493143828
2019,Payable Law,0.13839363952519115
2020,Payable Law,0.14125822880379335
2021,Payable Law,0.14201265458759732
2022,Payable Law,0.14577463917736447
2023,Payable Law,0.14655959854621065
2024,Payable Law,0.1508871239247131
2025,Payable Law,0.15438626544870548
2026,Payable Law,0.1551158724752596
2027,Payable Law,0.15763790594772703
2028,Payable Law,0.15852538822957143
2029,Payable Law,0.16046187515829272
2030,Payable Law,0.16196414661586353
2031,Payable Law,0.16334663737217284
2032,Payable Law,0.1640530876036948
2033,Payable Law,0.16721773853967895
2034,Payable Law,0.13423390835821833
2035,Payable Law,0.12962226394865273
2036,Payable Law,0.12973296172198256
2037,Payable Law,0.12967362714172675
2038,Payable Law,0.12969493885301883
2039,Payable Law,0.12971149509078367
2040,Payable Law,0.12972382493053505
2041,Payable Law,0.12985023775616988
2042,Payable Law,0.12984820757996374
2043,Payable Law,0.12986516352783753
2044,Payable Law,0.12992936331625332
2045,Payable Law,0.12996481473031696
2046,Payable Law,0.13004933289731263
2047,Payable Law,0.1300834687425452
2048,Payable Law,0.13010513801929074
2049,Payable Law,0.13018954222118453
2050,Payable Law,0.1302282276611464
2051,Payable Law,0.13025398958737067
2052,Payable Law,0.13029456004853726
2053,Payable Law,0.13032717317002065
2054,Payable Law,0.1304363568034721
2055,Payable Law,0.1304963677201101
2056,Payable Law,0.130513413592072
2057,Payable Law,0.13065209059330574
2058,Payable Law,0.13063103601041207
2059,Payable Law,0.13070896682324534
2060,Payable Law,0.130772526935716
2061,Payable Law,0.1307748979293938
2062,Payable Law,0.13081667045478676
2063,Payable Law,0.13089354089769661
2064,Payable Law,0.130933830328058
2065,Payable Law,0.13099782244733085
2066,Payable Law,0.13102878106184027
2067,Payable Law,0.13110232616672549
2068,Payable Law,0.1310842055738696
2069,Payable Law,0.1311150944575916
2070,Payable Law,0.13116296340529995
2071,Payable Law,0.13124430524909333
2072,Payable Law,0.13125907939813414
2073,Payable Law,0.13129389586927417
2074,Payable Law,0.1313093222628945
2075,Payable Law,0.1313446203993995
2076,Payable Law,0.13140205960271378
2077,Payable Law,0.1314189412476266
2078,Payable Law,0.13144493958430803
2079,Payable Law,0.13145901050723185
2080,Payable Law,0.13156386396697747
2081,Payable Law,0.1315634315621845
2082,Payable Law,0.13155326541741283
2083,Payable Law,0.13168571308506113
2084,Payable Law,0.131734876621892
2085,Payable Law,0.13167098955439244
2086,Payable Law,0.13174447561922295
2087,Payable Law,0.13181627799694268
2088,Payable Law,0.13183859676132467
2089,Payable Law,0.13186022239489767
2090,Payable Law,0.1318821631288562
2005,Annual PIA,0.11088980239288546
2006,Annual PIA,0.11009089601242979
2007,Annual PIA,0.1123532664358174
2008,Annual PIA,0.11533282945655698
2009,Annual PIA,0.12744613244971578
2010,Annual PIA,0.13811924563224573
2011,Annual PIA,0.13686109240963185
2012,Annual PIA,0.13844612298021564
2013,Annual PIA,0.13957097916062566
2014,Annual PIA,0.14085104582818858
2015,Annual PIA,0.13030790468634337
2016,Annual PIA,0.1364856683734399
2017,Annual PIA,0.13517425224184124
2018,Annual PIA,0.136583273919537
2019,Annual PIA,0.13840980055785929
2020,Annual PIA,0.14127293486216633
2021,Annual PIA,0.14203251459335753
2022,Annual PIA,0.1458042428007912
2023,Annual PIA,0.14663295917858768
2024,Annual PIA,0.15102822936086766
2025,Annual PIA,0.15468548414756245
2026,Annual PIA,0.15564625009622843
2027,Annual PIA,0.15850147720639562
2028,Annual PIA,0.1597808269142429
2029,Annual PIA,0.16226647390059956
2030,Annual PIA,0.1643809033354226
2031,Annual PIA,0.16643981160388344
2032,Annual PIA,0.16784834090311637
2033,Annual PIA,0.17184859211399678
2034,Annual PIA,0.17465577594575518
2035,Annual PIA,0.17563451799258406
2036,Annual PIA,0.17538737346789388
2037,Annual PIA,0.17644769236989966
2038,Annual PIA,0.17694562624744992
2039,Annual PIA,0.17740793658796267
2040,Annual PIA,0.17823857008267083
2041,Annual PIA,0.17751508663521276
2042,Annual PIA,0.17807804078763378
2043,Annual PIA,0.1792862690428674
2044,Annual PIA,0.1797876407121179
2045,Annual PIA,0.1776108564844105
2046,Annual PIA,0.1790948641247192
2047,Annual PIA,0.1791127047151896
2048,Annual PIA,0.1791428791886596
2049,Annual PIA,0.18030085602301338
2050,Annual PIA,0.1812333915069118
2051,Annual PIA,0.18032418787754043
2052,Annual PIA,0.18186764278342146
2053,Annual PIA,0.18150292954105776
2054,Annual PIA,0.18265477022825566
2055,Annual PIA,0.18405723269714985
2056,Annual PIA,0.1840131331175365
2057,Annual PIA,0.18398761844468772
2058,Annual PIA,0.18515637449331537
2059,Annual PIA,0.18728879751935673
2060,Annual PIA,0.18653135786824676
2061,Annual PIA,0.1893046463536577
2062,Annual PIA,0.1893244934177607
2063,Annual PIA,0.19104341624688898
2064,Annual PIA,0.19083675287918508
2065,Annual PIA,0.1900046462982146
2066,Annual PIA,0.18976338492757408
2067,Annual PIA,0.1934195507579485
2068,Annual PIA,0.19241071108478777
2069,Annual PIA,0.1935711687351509
2070,Annual PIA,0.194932666929938
2071,Annual PIA,0.1955617067594669
2072,Annual PIA,0.19511998928849617
2073,Annual PIA,0.1957814373119509
2074,Annual PIA,0.1958147259022724
2075,Annual PIA,0.19765070256148964
