calendar.year,variable,trust.fund.ratio,cost.payroll,income.cost
2005,Scheduled,3.1830934620530367,0.11088980239288546,1.3242291064786946
2006,Scheduled,3.3463984977161463,0.11009089601242979,1.3410944130668447
2007,Scheduled,3.445094289160153,0.1123532664358174,1.320248410011085
2008,Scheduled,3.5807807173718653,0.11533282945655698,1.2881884624797846
2009,Scheduled,3.5267635946870883,0.12744613244971578,1.1774406861465643
2010,Scheduled,3.5652706006517656,0.13811924563224573,1.096279995396659
2011,Scheduled,3.544374132229833,0.13686109240963185,1.0937069511277275
2012,Scheduled,3.40798315050014,0.13844612298021564,1.0692420270304666
2013,Scheduled,3.320275019321347,0.13957097916062566,1.0390048169697323
2014,Scheduled,3.2173352885723263,0.14085104582818858,1.029148190822015
2015,Scheduled,3.1502968358428682,0.13026543598190665,1.0923024896115365
2016,Scheduled,2.9306087627641024,0.13641632474103374,1.03865419488902
2017,Scheduled,2.8115950559856246,0.13509623196804832,1.0446488315856586
2018,Scheduled,2.686087223104933,0.13648469241537353,1.034120498468645
2019,Scheduled,2.556801398531215,0.13828224791034927,1.0208596645153574
2020,Scheduled,2.4238746303845176,0.14115643743778244,1.0008290756412244
2021,Scheduled,2.286687328817144,0.1419033038650415,0.9937794272479655
2022,Scheduled,2.1444291256209005,0.1456549083686094,0.9680876913111257
2023,Scheduled,1.9961839627537272,0.14642665924875828,0.9611536358225528
2024,Scheduled,1.843456520387367,0.1507630906412128,0.9332409645419886
2025,Scheduled,1.6724752418873308,0.1542377603274935,0.9134651689597644
2026,Scheduled,1.4995727767170672,0.15501354183789878,0.9077864309078153
2027,Scheduled,1.3314054653373733,0.15755333859438564,0.8915413488948946
2028,Scheduled,1.159196052585479,0.15842989522986864,0.8830952030819982
2029,Scheduled,0.9866046379193407,0.16038336642565498,0.8680727328025393
2030,Scheduled,0.811075857584589,0.16190927800960064,0.8511614950192389
2031,Scheduled,0.6269359955329814,0.16331437684863215,0.8340885369416561
2032,Scheduled,0.4380566393899258,0.1640428821407738,0.8202917156849692
2033,Scheduled,0.24575042817000406,0.16720037957184256,0.7947251887098005
2034,Scheduled,0.038489162974096276,0.16924066531037874,0.7739751465465013
2035,Scheduled,-0.17886721776877237,0.1695316038206323,0.7605678337213186
2036,Scheduled,-0.39915294583391886,0.16868393797965428,0.7525117139721219
2037,Scheduled,-0.6177787517248216,0.16921277533707046,0.7374629670725248
2038,Scheduled,-0.8431130005637031,0.1691306983753688,0.7253663053406513
2039,Scheduled,-1.0741982800056535,0.16906558370560812,0.7125295843347638
2040,Scheduled,-1.3037052764670063,0.16929263547131743,0.6985957346642061
2041,Scheduled,-1.54342999030982,0.16805039063838348,0.6912489010958189
2042,Scheduled,-1.7753992131479273,0.1681176420636117,0.6776398533156389
2043,Scheduled,-2.014275574874374,0.1687643539877406,0.6614605227328925
2044,Scheduled,-2.248246922210492,0.1687617472681848,0.6483774475776801
2045,Scheduled,-2.499311418687273,0.1663033724969282,0.6456536815446725
2046,Scheduled,-2.744654562322055,0.16725800255704035,0.6275604514222286
2047,Scheduled,-2.996485347633613,0.166880219893734,0.6154835455971792
2048,Scheduled,-3.2409683011522024,0.16657133834849944,0.6031804559071302
2049,Scheduled,-3.474791220273714,0.16735805285335414,0.5869788485092559
