option,text,oguo1,oguo2,oguo3,insolvency1,insolvency2,insolvency3,actuarial.balance1,actuarial.balance2,actuarial.balance3
Bipartisan Policy Center package,"<p><strong>Bipartisan Policy Center package</strong> provides an annual primary insurance amount; limits spousal benefits; replaces the windfall elimination provision and government pension offset with a proportional reduction in Old-Age and Survivors Insurance benefits based on covered earnings; enhances survivor benefits; increases the progressivity of the benefit formula; increases the Social Security tax max to $195,000, the payroll tax to 13.4 percent, and the full retirement age to 69; switches to chained CPI-U for cost of living adjustments; ends “claim-and-suspend” games; creates a basic minimum benefit for all individuals above the full retirement age eligible for Social Security; and taxes 100 percent of Social Security benefits for beneficiaries with annual incomes above $250,000.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,-$0.01 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,beyond 2090,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-0.12%,.
Annual primary insurance amount,"<p><strong>Annual primary insurance amount</strong> eliminates the preferential treatment of workers with short careers by applying Social Security&#39;s progressive benefit formula to the 40 highest years of wage-indexed earnings divided by 35, rather than applying the formula to the 35 highest years of wage-indexed earnings. This reform begins with Old Age and Survivors Insurance claimants who attain age 62 in 2020 and is phased-in over five years.</p>",<p><strong>Open group unfunded obligation</strong> increases from $11.24 trillion to,$15.05 trillion,.</p>, <p><strong>Insolvency year</strong> decreases from 2034 to,2033,.</p>,<p><strong>75 year actuarial balance</strong> worsens from -2.81% to,-3.72%,.
Increase benefits taxation,"<p><strong>Increase benefits taxation</strong> includes 80 percent of Social Security benefits in adjusted gross income beginning in 2020, but also raises the standard deduction for aged and disabled filers. Individuals age 63 would receive an additional deduction of $1,000, increasing by $1,000 for each year of age through 67 (when it would reach $5,000).  Disabled filers get the full $5,000 additional standard deduction. These amounts are indexed like the rest of the tax code. The reform applies half of the revenue from taxing benefits to the Social Security Trust Fund and half to the Medicare Trust Fund.</p>",<p><strong>Open group unfunded obligation</strong> increases from $11.24 trillion to,$11.59 trillion,.</p>, <p><strong>Insolvency year</strong> decreases from 2034 to,2033,.</p>,<p><strong>75 year actuarial balance</strong> worsens from -2.81% to,-2.89%,.
Cap spouse benefits,"<p><strong>Cap spouse benefits</strong> caps the spouse benefit at one-half of the median worker&#39;s benefit ($1,121.68 in 2016) beginning for claimants who turn 60 in 2020 and beyond. Indexes the cap annually by chained CPI-U.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$10.54 trillion,.</p>, <p><strong>Insolvency year</strong> remains at,2034,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.64%,.
75% survivor benefit,"<p><strong>75 percent survivor benefit</strong> creates a 75 percent joint-and-survivor annuity benefit (i.e., surviving spouses would receive 75 percent of the decedents&#39; benefits, in addition to their own) for all claimants who are married beginning for claimants who turn age 60 in 2020 (and all future cohorts). Initial benefits are actuarially adjusted to keep the expected value of benefits equivalent to what would otherwise be payable under current law.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$10.07 trillion,.</p>, <p><strong>Insolvency year</strong> remains at,2034,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.53%,.
90% tax max,<p><strong>90 percent tax max</strong> increases the cap on annual earnings subject to the Social Security payroll tax and entered in the benefits calculation to cover 90 percent of payroll. This increase is phased in over 10 years beginning in 2016.</p>,<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$7.47 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2041,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-1.75%,.
90% tax max and 13.4% payroll tax,"<p><strong>90 percent tax max and 13.4 percent payroll tax</strong> increases the cap on annual earnings subject to the Social Security payroll tax and entered in the benefits calculation to cover 90 percent of payroll. This increase is phased in over 10 years beginning in 2016. This reform also increases the payroll and self-employment tax rates 12.4 percent to 13.4 percent over 10 years beginning in 2016. It also evenly splits the payroll-tax increase between employees and employers, but employers reduce employees&#39; total earnings each year by the employer&#39;s share of the payroll tax.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$3.41 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2059,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-0.88%,.
Chained-CPI COLA,"<p><strong>Chained-CPI cost-of-living adjustment</strong> ties beneficiaries&#39; annual cost of living adjustment to the change in the C-CPI-U, which grows more slowly than the CPI-W now used to compute cost-of-living adjustments.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$8.94 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2035,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.26%,.
Reduce COLA,<p><strong>Reduce cost-of-living adjustment</strong> reduces beneficiaries&#39; annual cost-of-living adjustment as measured by the CPI-W by 0.3 percentage points beginning in 2016.</p>,<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$9.27 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2035,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.34%,.
Increase FRA,"<p><strong>Increase full retirement age</strong> indefinitely raises Social Security&#39;s full retirement age (which is currently increasing and will become age 67 for individuals who turn 62 in 2022) and the age for receiving delayed retirement credits; these raises will be by one month every two years and begin in 2024. The earliest eligibility age remains 62, but maximum benefit reductions are increased because of actuarial adjustment. </p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$9.17 trillion,.</p>, <p><strong>Insolvency year</strong> remains at,2034,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.30%,.
